Website,Company Name,Ticker,Exchange,domain,files_in_bucket
,La Imperial Resources Inc.,LAI.X,CSE,,0
https://lafleurminerals.com,LaFleur Minerals Inc. (formerly was QBC/Quebec Pegmatite Holdings Corp. until 2024-06-28),LFLR,CSE,lafleurminerals.com,59
https://lancaster-resources.com,Lancaster Resources Inc.,LCR,CSE,lancaster-resources.com,52
https://leocormining.com,Leocor Mining Inc. (formerly was LECR/Leocor Gold Inc. until 2025-01-21),LECR,CSE,leocormining.com,93
https://www.leopardlake.ca,Leopard Lake Gold Corp.,LP,CSE,leopardlake.ca,27
https://lexston.ca,Lexston Mining Corporation,LEXT,CSE,lexston.ca,9
https://www.LFNT.ca,LFNT Resources Corp.,LFNT,CSE,LFNT.ca,0
,Lida Resources Inc.,LIDA,CSE,,0
https://febatterymetals.com,Linear Minerals Corp. (formerly was FE/FE Battery Metals Corp. until 2024-12-30),LINE,CSE,febatterymetals.com,0
https://www.lioncg.com,Lion Copper and Gold Corp.,LEO,CSE,lioncg.com,0
https://www.liveenergyminerals.com,Live Energy Minerals Corp.,LIVE,CSE,liveenergyminerals.com,6
https://loyalistexp.ca,Loyalist Exploration Limited.,PNGC,CSE,loyalistexp.ca,14
,Mabel Ventures Inc.,MBL,CSE,,0
https://www.makenitaresources.com/,Makenita Resources Inc.,KENY,CSE,makenitaresources.com,16
https://manning-ventures.com,Manning Ventures Inc.,MANN,CSE,manning-ventures.com,77
https://www.maxpowermining.com,Max Power Mining Corp,MAXX,CSE,maxpowermining.com,90
https://www.mayolakeminerals.com,Mayo Lake Minerals Inc.,MLKM,CSE,mayolakeminerals.com,21
https://www.mclarenresources.com,McLaren Resources Inc.,MCL,CSE,mclarenresources.com,51
https://medaromining.com,Medaro Mining Corp.,MEDA,CSE,medaromining.com,108
https://megawattmetals.com,MegaWatt Lithium and Battery Metals Corp.,MEGA,CSE,megawattmetals.com,1
https://www.mercadominerals.com/,Mercado Minerals Ltd. (formerly was HMC/Heartfield Mining Corp until 2024-11-14),MERC,CSE,mercadominerals.com,11
https://www.meryllionresources.com,Meryllion Resources Corporation,MYR,CSE,meryllionresources.com,5
https://www.metaliteresources.com,Metalite Resources Inc.,METL,CSE,metaliteresources.com,2
https://www.metalsourcemining.com,Metalsource Mining Inc.,MSM,CSE,metalsourcemining.com,40
https://miatametals.com/,Miata Metals Corp.,MMET,CSE,miatametals.com,27
https://www.militarymetalscorp.com,Military Metals Corp. (formerly was XONE/X1 Entertainment Group Inc. until 2024-08-19),MILI,CSE,militarymetalscorp.com,47
https://minasmetals.ca,Minas Metals Ltd.,MINA,CSE,minasmetals.ca,1
https://www.minera-irl.com,Minera IRL Limited,MIRL,CSE,minera-irl.com,0
https://mineralroad.ca,Mineral Road Discovery Inc. (formerly was CRES/Crest Resources Inc. until 2024-09-06),ROAD,CSE,mineralroad.ca,10
https://mistango.com,Mistango River Resources Inc.,MIS,CSE,mistango.com,87
https://www.moltenmetalscorp.com,Molten Metals Corp.,MOLT,CSE,moltenmetalscorp.com,0
https://mongoosemining.com,Mongoose Mining Ltd.,MNG,CSE,mongoosemining.com,27
https://www.montegoresources.ca,Montego Resources Inc.,MY,CSE,montegoresources.ca,32
https://www.mosaicminerals.ca,Mosaic Minerals Corp.,MOC,CSE,mosaicminerals.ca,0
https://www.muskmetals.ca,Musk Metals Corp,MUSK,CSE,muskmetals.ca,0
https://www.mustangenergy.ca,Mustang Energy Corp.,MEC,CSE,mustangenergy.ca,75
